#,Company,Location_HQ,Region,State,Country,Continent,Laid_Off,Date_layoffs,Percentage,Company_Size_before_Layoffs,Company_Size_after_layoffs,Industry,Stage,Money_Raised_in__mil,latitude,longitude
357,Hyperscience,"New York City",Unknown,Unknown,USA,"North America",100,2022-03-03,25,400,300,Data,"Series E",289,40.7127281,-74.0060152
358,"Adaptive Biotechnology",Seattle,Unknown,Unknown,USA,"North America",100,2022-03-08,12,833,733,Healthcare,Post-IPO,406,47.6038321,-122.330062
359,Better.com,"New York City",Unknown,Unknown,USA,"North America",3000,2022-03-08,33,9091,6091,"Real Estate",Unknown,905,40.7127281,-74.0060152
360,Knock,"New York City",Unknown,Unknown,USA,"North America",115,2022-03-15,46,250,135,"Real Estate",Unknown,654,40.7127281,-74.0060152
361,Trell,Bengaluru,Unknown,Unknown,India,Asia,300,2022-03-15,50,600,300,Retail,"Series B",62,12.98815675,77.62260004
362,Storytel,Stockholm,Unknown,Unknown,Sweden,Europe,100,2022-03-17,10,1000,900,Media,Post-IPO,275,59.3251172,18.0710935
363,Gopuff,Philadelphia,Unknown,Unknown,USA,"North America",450,2022-03-29,3,15000,14550,Food,"Series H",3400,39.9527237,-75.1635262
364,Thinkific,Vancouver,Unknown,Unknown,Canada,"North America",100,2022-03-29,20,500,400,Education,Post-IPO,22,49.2608724,-123.113952
365,Rasa,Berlin,Unknown,Unknown,Germany,Europe,59,2022-03-30,40,148,89,Data,"Series B",40,52.5170365,13.3888599
366,Legible,Vancouver,Unknown,Unknown,Canada,"North America",23,2022-04-04,38,61,38,Media,Post-IPO,3,49.2608724,-123.113952
367,Unacademy,Bengaluru,Unknown,Unknown,India,Asia,1000,2022-04-07,17,5882,4882,Education,"Series H",838,12.98815675,77.62260004
368,Food52,"New York City",Unknown,Unknown,USA,"North America",20,2022-04-08,10,200,180,Food,Acquired,176,40.7127281,-74.0060152
369,"Rad Power Bikes",Seattle,Unknown,Unknown,USA,"North America",100,2022-04-12,14,714,614,Transportation,"Series D",329,47.6038321,-122.330062
370,Ahead,"San Francisco","San Francisco Bay Area",California,USA,"North America",44,2022-04-14,100,44,0,Healthcare,Unknown,9,37.7792588,-122.4193286
371,Blend,"San Francisco","San Francisco Bay Area",California,USA,"North America",200,2022-04-19,10,2000,1800,Finance,Post-IPO,665,37.7792588,-122.4193286
372,QuintoAndar,"Sao Paulo",Unknown,Unknown,Brazil,"South America",160,2022-04-19,4,4000,3840,"Real Estate","Series E",755,-23.5506507,-46.6333824
373,Facily,"Sao Paulo",Unknown,Unknown,Brazil,"South America",260,2022-04-20,30,867,607,Retail,"Series D",502,-23.5506507,-46.6333824
374,Xiaohongshu,Shanghai,Unknown,Unknown,China,Asia,180,2022-04-21,9,2000,1820,Consumer,"Series E",917,31.2312707,121.4700152
375,Bonsai,Toronto,Unknown,Unknown,Canada,"North America",29,2022-04-26,34,85,56,Retail,"Series A",27,43.6534817,-79.3839347
376,Robinhood,"Menlo Park","San Francisco Bay Area",California,USA,"North America",340,2022-04-26,9,3778,3438,Finance,Post-IPO,5600,37.4519671,-122.177992
377,Domestika,Berkeley,"San Francisco Bay Area",California,USA,"North America",150,2022-04-28,19,789,639,Education,"Series D",130,37.8708393,-122.272863
378,Avo,"Tel Aviv",Unknown,Unknown,Israel,Asia,500,2022-05-01,67,746,246,Food,"Series B",45,32.0852997,34.7818064
379,Cameo,Chicago,Unknown,Unknown,USA,"North America",87,2022-05-04,25,348,261,Consumer,Unknown,165,41.8755616,-87.6244212
380,Mainstreet,"San Francisco","San Francisco Bay Area",California,USA,"North America",45,2022-05-04,30,150,105,Finance,"Series A",64,37.7792588,-122.4193286
381,SEND,Sydney,Unknown,Unknown,Australia,Australia,300,2022-05-04,100,300,0,Food,Seed,3,-33.8698439,151.2082848
382,Mural,"San Francisco","San Francisco Bay Area",California,USA,"North America",90,2022-05-05,10,900,810,Product,"Series C",192,37.7792588,-122.4193286
383,"On Deck","San Francisco","San Francisco Bay Area",California,USA,"North America",72,2022-05-05,25,288,216,Education,"Series A",20,37.7792588,-122.4193286
384,Vedantu,Bengaluru,Unknown,Unknown,India,Asia,200,2022-05-05,3,6667,6467,Education,"Series E",292,12.98815675,77.62260004
386,Meero,Paris,Unknown,Unknown,France,Europe,350,2022-05-09,50,700,350,Other,"Series C",293,48.8588897,2.320041022
389,Doma,"Huntington Beach",Unknown,California,USA,"North America",310,2022-05-10,15,2067,1757,Finance,Post-IPO,679,33.6783336,-118.000016
390,Latch,"New York City",Unknown,Unknown,USA,"North America",30,2022-05-10,6,500,470,Security,Post-IPO,342,40.7127281,-74.0060152
391,Pollen,London,Unknown,Unknown,UK,Europe,200,2022-05-10,33,606,406,Travel,"Series C",238,51.4893335,-0.144055085
392,DataRobot,Boston,Unknown,Unknown,USA,"North America",70,2022-05-11,7,1000,930,Data,"Series G",1000,42.3554334,-71.060511
393,"AliExpress Russia",Moscow,Unknown,Unknown,Russia,Europe,400,2022-05-14,40,1000,600,Retail,Acquired,60,55.7505412,37.6174782
394,Zak,"Sao Paulo",Unknown,Unknown,Brazil,"South America",100,2022-05-16,40,250,150,Food,"Series A",29,-23.5506507,-46.6333824
395,Kry,Stockholm,Unknown,Unknown,Sweden,Europe,100,2022-05-17,10,1000,900,Healthcare,"Series D",568,59.3251172,18.0710935
396,Netflix,"Los Gatos","San Francisco Bay Area",California,USA,"North America",150,2022-05-17,1,15000,14850,Media,Post-IPO,121900,37.226611,-121.9746797
397,Picsart,Miami,Unknown,Unknown,USA,"North America",90,2022-05-17,8,1125,1035,Consumer,"Series C",195,25.7741728,-80.19362
398,Vedantu,Bengaluru,Unknown,Unknown,India,Asia,424,2022-05-18,7,6057,5633,Education,"Series E",292,12.98815675,77.62260004
399,Cars24,Gurugram,Unknown,Unknown,India,Asia,600,2022-05-19,6,10000,9400,Transportation,"Series G",1300,28.4646148,77.0299194
400,Latch,"New York City",Unknown,Unknown,USA,"North America",130,2022-05-20,28,464,334,Security,Post-IPO,342,40.7127281,-74.0060152
401,Outside,Boulder,Unknown,Unknown,USA,"North America",87,2022-05-20,15,580,493,Media,"Series B",174,40.0149856,-105.270545
402,Skillz,"San Francisco","San Francisco Bay Area",California,USA,"North America",70,2022-05-20,10,700,630,Consumer,Post-IPO,287,37.7792588,-122.4193286
403,MFine,Bengaluru,Unknown,Unknown,India,Asia,600,2022-05-21,75,800,200,Healthcare,"Series C",97,12.98815675,77.62260004
404,Airtime,"New York City",Unknown,Unknown,USA,"North America",30,2022-05-23,20,150,120,Consumer,"Series B",33,40.7127281,-74.0060152
405,BeyondMinds,"Tel Aviv",Unknown,Unknown,Israel,Asia,65,2022-05-23,100,65,0,Data,"Series A",16,32.0852997,34.7818064
406,Buenbit,"Buenos Aires",Unknown,Unknown,Argentina,"South America",80,2022-05-23,45,178,98,Crypto,"Series A",11,-34.6037181,-58.38153
407,ClickUp,"San Diego",Unknown,California,USA,"North America",60,2022-05-23,7,857,797,Other,"Series C",537,32.7174202,-117.162772
408,Klarna,Stockholm,Unknown,Unknown,Sweden,Europe,700,2022-05-23,10,7000,6300,Finance,Unknown,3700,59.3251172,18.0710935
409,Gorillas,Berlin,Unknown,Unknown,Germany,Europe,300,2022-05-24,50,600,300,Food,"Series C",1300,52.5170365,13.3888599
410,Bolt,"San Francisco","San Francisco Bay Area",California,USA,"North America",240,2022-05-25,27,889,649,Finance,"Series E",1300,37.7792588,-122.4193286
411,"Coterie Insurance",Cincinnati,Unknown,Unknown,USA,"North America",30,2022-05-25,20,150,120,Finance,"Series B",70,39.1014537,-84.5124602
412,Kontist,Berlin,Unknown,Unknown,Germany,Europe,50,2022-05-25,25,200,150,Finance,"Series B",53,52.5170365,13.3888599
413,Lacework,"Mountain View","San Francisco Bay Area",California,USA,"North America",300,2022-05-25,20,1500,1200,Security,"Series D",1900,37.3893889,-122.0832101
414,Nuri,Berlin,Unknown,Unknown,Germany,Europe,45,2022-05-25,20,225,180,Finance,"Series B",42,52.5170365,13.3888599
415,Bitso,"Mexico City",Unknown,Unknown,Mexico,"North America",80,2022-05-26,11,727,647,Crypto,"Series C",378,19.4326296,-99.1331785
416,VTEX,"Sao Paulo",Unknown,Unknown,Brazil,"South America",200,2022-05-26,13,1538,1338,Retail,Post-IPO,365,-23.5506507,-46.6333824
417,FrontRow,Bengaluru,Unknown,Unknown,India,Asia,145,2022-05-27,30,483,338,Education,"Series A",17,12.98815675,77.62260004
418,Uncapped,London,Unknown,Unknown,UK,Europe,29,2022-05-27,26,112,83,Finance,Unknown,118,51.4893335,-0.144055085
419,"Mobile Premier League",Bengaluru,Unknown,Unknown,India,Asia,100,2022-05-30,10,1000,900,Consumer,"Series E",375,12.98815675,77.62260004
420,SumUp,"Sao Paulo",Unknown,Unknown,Brazil,"South America",100,2022-05-30,3,3333,3233,Finance,Unknown,50,-23.5506507,-46.6333824
421,SWVL,Dubai,Unknown,Unknown,"United Arabian Emirates",Asia,400,2022-05-30,32,1250,850,Transportation,Post-IPO,132,25.276987,55.296249
422,BookClub,"Salt Lake City",Unknown,Unknown,USA,"North America",12,2022-05-31,25,48,36,Education,"Series A",26,40.7596198,-111.886797
423,Tomo,Stamford,Unknown,Unknown,USA,"North America",44,2022-05-31,33,133,89,Finance,"Series A",110,41.0534302,-73.5387341
424,2TM,"Sao Paulo",Unknown,Unknown,Brazil,"South America",90,2022-06-01,12,750,660,Crypto,Unknown,250,-23.5506507,-46.6333824
425,Curve,London,Unknown,Unknown,UK,Europe,65,2022-06-01,10,650,585,Finance,"Series C",182,51.4893335,-0.144055085
426,Cybereason,Boston,Unknown,Unknown,USA,"North America",100,2022-06-01,6,1667,1567,Security,"Series F",750,42.3554334,-71.060511
427,Impala,London,Unknown,Unknown,UK,Europe,30,2022-06-01,35,86,56,Travel,"Series B",32,51.4893335,-0.144055085
428,Loom,"San Francisco","San Francisco Bay Area",California,USA,"North America",34,2022-06-01,14,243,209,Product,"Series C",203,37.7792588,-122.4193286
429,Udayy,Gurugram,Unknown,Unknown,India,Asia,100,2022-06-01,100,100,0,Education,Seed,2,28.4646148,77.0299194
430,"Carbon Health","San Francisco","San Francisco Bay Area",California,USA,"North America",250,2022-06-02,8,3125,2875,Healthcare,"Series D",522,37.7792588,-122.4193286
431,Gather,"Palo Alto","San Francisco Bay Area",California,USA,"North America",30,2022-06-02,33,91,61,Consumer,"Series B",76,37.4443293,-122.1598465
432,Gemini,"New York City",Unknown,Unknown,USA,"North America",100,2022-06-02,10,1000,900,Crypto,Unknown,423,40.7127281,-74.0060152
433,IRL,Berkeley,"San Francisco Bay Area",California,USA,"North America",25,2022-06-02,25,100,75,Consumer,"Series C",197,37.8708393,-122.272863
434,PolicyGenius,"New York City",Unknown,Unknown,USA,"North America",170,2022-06-02,25,680,510,Finance,"Series E",286,40.7127281,-74.0060152
435,Stord,Atlanta,Unknown,Unknown,USA,"North America",59,2022-06-02,8,738,679,Logistics,"Series D",325,33.7489924,-84.3902644
436,Yojak,Gurugram,Unknown,Unknown,India,Asia,140,2022-06-02,50,280,140,Construction,Seed,3,28.4646148,77.0299194
437,Food52,"New York City",Unknown,Unknown,USA,"North America",21,2022-06-03,15,140,119,Food,Acquired,176,40.7127281,-74.0060152
438,Superhuman,"San Francisco","San Francisco Bay Area",California,USA,"North America",23,2022-06-03,22,105,82,Consumer,"Series C",108,37.7792588,-122.4193286
439,Dutchie,Bend,Unknown,Unknown,USA,"North America",50,2022-06-06,7,714,664,Other,"Series D",603,44.0581728,-121.3153096
440,Bird,"Los Angeles",Unknown,California,USA,"North America",138,2022-06-07,23,600,462,Transportation,Post-IPO,783,34.0536909,-118.242766
441,Cazoo,London,Unknown,Unknown,UK,Europe,750,2022-06-07,15,5000,4250,Transportation,Post-IPO,2000,51.4893335,-0.144055085
442,Rupeek,Bengaluru,Unknown,Unknown,India,Asia,180,2022-06-07,15,1200,1020,Finance,Unknown,172,12.98815675,77.62260004
443,"iPrice Group","Kuala Lumpur",Unknown,Unknown,Malaysia,Asia,50,2022-06-08,20,250,200,Retail,Unknown,26,3.1516964,101.6942371
444,Sonder,"San Francisco","San Francisco Bay Area",California,USA,"North America",250,2022-06-08,21,1190,940,Travel,Post-IPO,839,37.7792588,-122.4193286
445,Truepill,Hayward,"San Francisco Bay Area",California,USA,"North America",150,2022-06-08,15,1000,850,Healthcare,"Series D",255,37.6688205,-122.080796
446,Boozt,Malm̦,Unknown,Unknown,Sweden,Europe,70,2022-06-09,5,1400,1330,Retail,Post-IPO,56,55.6052931,13.0001566
447,Convoy,Seattle,Unknown,Unknown,USA,"North America",90,2022-06-09,7,1286,1196,Logistics,"Series E",1100,47.6038321,-122.330062
448,Hologram,Chicago,Unknown,Unknown,USA,"North America",80,2022-06-09,40,200,120,Infrastructure,"Series B",82,41.8755616,-87.6244212
449,OneTrust,Atlanta,Unknown,Unknown,USA,"North America",950,2022-06-09,25,3800,2850,Security,"Series C",926,33.7489924,-84.3902644
450,Preply,Boston,Unknown,Unknown,USA,"North America",26,2022-06-09,5,520,494,Education,"Series C",100,42.3554334,-71.060511
451,Stashaway,Singapore,Unknown,Unknown,Singapore,Asia,31,2022-06-09,14,221,190,Finance,"Series D",61,1.2899175,103.8519072
452,"Stitch Fix","San Francisco","San Francisco Bay Area",California,USA,"North America",330,2022-06-09,15,2200,1870,Retail,Post-IPO,79,37.7792588,-122.4193286
453,"The Grommet",Boston,Unknown,Unknown,USA,"North America",40,2022-06-09,100,40,0,Retail,Acquired,5,42.3554334,-71.060511
454,Albert,"Los Angeles",Unknown,California,USA,"North America",20,2022-06-10,8,250,230,Finance,"Series C",175,34.0536909,-118.242766
455,"Berlin Brands Group",Berlin,Unknown,Unknown,Germany,Europe,100,2022-06-10,10,1000,900,Retail,Unknown,1000,52.5170365,13.3888599
456,Crypto.com,Singapore,Unknown,Unknown,Singapore,Asia,260,2022-06-10,5,5200,4940,Crypto,Unknown,156,1.2899175,103.8519072
457,FarEye,"New Delhi",Unknown,Unknown,India,Asia,250,2022-06-10,30,833,583,Logistics,"Series E",150,28.6138954,77.2090057
458,Freetrade,London,Unknown,Unknown,UK,Europe,45,2022-06-10,15,300,255,Finance,Unknown,133,51.4893335,-0.144055085
459,Sanar,"Sao Paulo",Unknown,Unknown,Brazil,"South America",60,2022-06-10,20,300,240,Healthcare,Unknown,11,-23.5506507,-46.6333824
460,BlockFi,"New York City",Unknown,Unknown,USA,"North America",250,2022-06-13,20,1250,1000,Crypto,"Series E",1000,40.7127281,-74.0060152
461,Studio,"San Francisco","San Francisco Bay Area",California,USA,"North America",33,2022-06-13,40,83,50,Education,"Series B",50,37.7792588,-122.4193286
462,"Wave Sports and Entertainment","Los Angeles",Unknown,California,USA,"North America",56,2022-06-13,33,170,114,Media,"Series B",65,34.0536909,-118.242766
463,Breathe,"New Delhi",Unknown,Unknown,India,Asia,50,2022-06-14,33,152,102,Healthcare,"Series A",6,28.6138954,77.2090057
464,Coinbase,"San Francisco","San Francisco Bay Area",California,USA,"North America",1100,2022-06-14,18,6111,5011,Crypto,Post-IPO,549,37.7792588,-122.4193286
466,Redfin,Seattle,Unknown,Unknown,USA,"North America",470,2022-06-14,8,5875,5405,"Real Estate",Post-IPO,319,47.6038321,-122.330062
467,Sami,"Sao Paulo",Unknown,Unknown,Brazil,"South America",75,2022-06-14,15,500,425,Healthcare,Unknown,36,-23.5506507,-46.6333824
468,TIFIN,Boulder,Unknown,Unknown,USA,"North America",24,2022-06-14,10,240,216,Crypto,"Series D",204,40.0149856,-105.270545
469,Notarize,Boston,Unknown,Unknown,USA,"North America",110,2022-06-15,25,440,330,Legal,"Series D",213,42.3554334,-71.060511
470,OpenWeb,"Tel Aviv",Unknown,Unknown,Israel,Asia,14,2022-06-15,5,280,266,Media,"Series E",223,32.0852997,34.7818064
471,Swappie,Helsinki,Unknown,Unknown,Finland,Europe,250,2022-06-15,17,1471,1221,Retail,"Series C",169,60.1674881,24.9427473
472,Swyft,Toronto,Unknown,Unknown,Canada,"North America",10,2022-06-15,30,33,23,Logistics,"Series A",20,43.6534817,-79.3839347
473,Tonkean,"Palo Alto","San Francisco Bay Area",California,USA,"North America",23,2022-06-15,23,100,77,Other,"Series B",83,37.4443293,-122.1598465
474,Wealthsimple,Toronto,Unknown,Unknown,Canada,"North America",159,2022-06-15,13,1223,1064,Finance,Unknown,900,43.6534817,-79.3839347
475,Weee!,Fremont,"San Francisco Bay Area",California,USA,"North America",150,2022-06-15,10,1500,1350,Food,"Series E",863,37.5482697,-121.988571
476,JOKR,"New York City",Unknown,Unknown,USA,"North America",50,2022-06-16,5,1000,950,Food,"Series B",430,40.7127281,-74.0060152
477,Zumper,"San Francisco","San Francisco Bay Area",California,USA,"North America",45,2022-06-16,15,300,255,"Real Estate","Series D",178,37.7792588,-122.4193286
478,"Finite State",Columbus,Unknown,Unknown,USA,"North America",16,2022-06-17,20,80,64,Security,"Series B",49,39.9622601,-83.0007065
479,Socure,Reno,Unknown,Unknown,USA,"North America",69,2022-06-17,13,531,462,Finance,"Series E",646,39.5261206,-119.8126581
480,Unacademy,Bengaluru,Unknown,Unknown,India,Asia,150,2022-06-18,3,5000,4850,Education,"Series H",838,12.98815675,77.62260004
481,BitOasis,Dubai,Unknown,Unknown,"United Arabian Emirates",Asia,9,2022-06-19,5,180,171,Crypto,"Series B",30,25.276987,55.296249
482,CityMall,Gurugram,Unknown,Unknown,India,Asia,191,2022-06-19,30,637,446,Retail,"Series C",112,28.4646148,77.0299194
483,Aqgromalin,Chennai,Unknown,Unknown,India,Asia,80,2022-06-20,30,267,187,Food,Unknown,12,13.0836939,80.270186
484,Bonsai,Toronto,Unknown,Unknown,Canada,"North America",30,2022-06-20,55,55,25,Retail,"Series A",27,43.6534817,-79.3839347
485,Brighte,Sydney,Unknown,Unknown,Australia,Australia,30,2022-06-20,15,200,170,Energy,"Series C",145,-33.8698439,151.2082848
486,SummerBio,"Menlo Park","San Francisco Bay Area",California,USA,"North America",101,2022-06-20,100,101,0,Healthcare,Unknown,7,37.4519671,-122.177992
487,Trax,Singapore,Unknown,Unknown,Singapore,Asia,100,2022-06-20,12,833,733,Retail,"Series E",1000,1.2899175,103.8519072
488,Community,"Los Angeles",Unknown,California,USA,"North America",40,2022-06-21,30,133,93,Marketing,Unknown,40,34.0536909,-118.242766
489,Ebanx,Curitiba,Unknown,Unknown,Brazil,"South America",340,2022-06-21,20,1700,1360,Finance,"Series B",460,-25.4295963,-49.2712724
490,Sourcegraph,"San Francisco","San Francisco Bay Area",California,USA,"North America",24,2022-06-21,8,300,276,Product,"Series D",248,37.7792588,-122.4193286
491,IronNet,"Washington DC",Unknown,Unknown,USA,"North America",90,2022-06-22,35,257,167,Security,Post-IPO,410,38.8950368,-77.0365427
492,MasterClass,"San Francisco","San Francisco Bay Area",California,USA,"North America",120,2022-06-22,20,600,480,Education,"Series E",461,37.7792588,-122.4193286
493,Ritual,Toronto,Unknown,Unknown,Canada,"North America",23,2022-06-22,16,144,121,Food,"Series C",134,43.6534817,-79.3839347
494,Superpedestrian,Boston,Unknown,Unknown,USA,"North America",35,2022-06-22,7,500,465,Transportation,"Series C",261,42.3554334,-71.060511
495,Voi,Stockholm,Unknown,Unknown,Sweden,Europe,35,2022-06-22,10,350,315,Transportation,"Series D",515,59.3251172,18.0710935
496,Aura,Boston,Unknown,Unknown,USA,"North America",70,2022-06-23,9,778,708,Security,"Series F",500,42.3554334,-71.060511
497,Netflix,"Los Gatos","San Francisco Bay Area",California,USA,"North America",300,2022-06-23,3,10000,9700,Media,Post-IPO,121900,37.226611,-121.9746797
498,Pipl,Spokane,Unknown,Unknown,USA,"North America",22,2022-06-23,13,169,147,Security,Unknown,19,47.6571934,-117.42351
499,Vouch,"San Francisco","San Francisco Bay Area",California,USA,"North America",15,2022-06-23,7,214,199,Finance,"Series C",159,37.7792588,-122.4193286
500,"Voyage SMS","Los Angeles",Unknown,California,USA,"North America",8,2022-06-23,13,62,54,Marketing,Unknown,10,34.0536909,-118.242766
501,Bestow,Dallas,Unknown,Unknown,USA,"North America",41,2022-06-24,14,293,252,Finance,"Series C",137,32.7762719,-96.7968559
502,Bitpanda,Vienna,Unknown,Unknown,Austria,Europe,270,2022-06-24,27,1000,730,Crypto,"Series C",546,48.2083537,16.3725042
503,"Ethos Life","San Francisco","San Francisco Bay Area",California,USA,"North America",40,2022-06-24,12,333,293,Finance,"Series D",406,37.7792588,-122.4193286
504,Sunday,Atlanta,Unknown,Unknown,USA,"North America",90,2022-06-24,23,391,301,Finance,"Series A",124,33.7489924,-84.3902644
505,AppLovin,"Palo Alto","San Francisco Bay Area",California,USA,"North America",300,2022-06-27,12,2500,2200,Marketing,Post-IPO,1600,37.4443293,-122.1598465
506,Banxa,Melbourne,Unknown,Unknown,Australia,Australia,70,2022-06-27,30,233,163,Crypto,Post-IPO,13,-37.8142454,144.9631732
507,SafeGraph,"San Francisco","San Francisco Bay Area",California,USA,"North America",27,2022-06-27,25,108,81,Data,"Series B",61,37.7792588,-122.4193286
509,UiPath,"New York City",Unknown,Unknown,USA,"North America",210,2022-06-27,5,4200,3990,Data,Post-IPO,2000,40.7127281,-74.0060152
510,"Bright Machines","San Francisco","San Francisco Bay Area",California,USA,"North America",30,2022-06-28,8,375,345,Data,Unknown,250,37.7792588,-122.4193286
511,HealthMatch,Sydney,Unknown,Unknown,Australia,Australia,18,2022-06-28,50,36,18,Healthcare,"Series B",20,-33.8698439,151.2082848
512,Huobi,Bejing,Unknown,Unknown,China,Asia,300,2022-06-28,30,1000,700,Crypto,Unknown,2,39.9057136,116.3912972
513,"Sidecar Health","Los Angeles",Unknown,California,USA,"North America",110,2022-06-28,40,275,165,Healthcare,"Series C",163,34.0536909,-118.242766
514,StockX,Detroit,Unknown,Unknown,USA,"North America",120,2022-06-28,8,1500,1380,Retail,"Series E",690,42.3315509,-83.0466403
515,Vezeeta,Dubai,Unknown,Unknown,"United Arabian Emirates",Asia,50,2022-06-28,10,500,450,Healthcare,"Series D",71,25.276987,55.296249
516,Baton,"San Francisco","San Francisco Bay Area",California,USA,"North America",16,2022-06-29,25,64,48,Transportation,"Series A",13,37.7792588,-122.4193286
517,Clutch,Toronto,Unknown,Unknown,Canada,"North America",76,2022-06-29,22,345,269,Transportation,"Series B",153,43.6534817,-79.3839347
518,Niantic,"San Francisco","San Francisco Bay Area",California,USA,"North America",85,2022-06-29,8,1063,978,Consumer,"Series D",770,37.7792588,-122.4193286
519,"Oye Rickshaw","New Delhi",Unknown,Unknown,India,Asia,40,2022-06-29,20,200,160,Transportation,Unknown,13,28.6138954,77.2090057
520,Qumulo,Seattle,Unknown,Unknown,USA,"North America",80,2022-06-29,19,421,341,Data,"Series E",347,47.6038321,-122.330062
521,Rows,Berlin,Unknown,Unknown,Germany,Europe,18,2022-06-29,30,60,42,Other,"Series B",25,52.5170365,13.3888599
522,Substack,"San Francisco","San Francisco Bay Area",California,USA,"North America",13,2022-06-29,14,93,80,Media,"Series B",82,37.7792588,-122.4193286
523,Unity,"San Francisco","San Francisco Bay Area",California,USA,"North America",200,2022-06-29,4,5000,4800,Other,Post-IPO,1300,37.7792588,-122.4193286
524,Abra,"Mountain View","San Francisco Bay Area",California,USA,"North America",12,2022-06-30,5,240,228,Crypto,"Series C",106,37.3893889,-122.0832101
525,Crejo.Fun,Bengaluru,Unknown,Unknown,India,Asia,170,2022-06-30,100,170,0,Education,Seed,3,12.98815675,77.62260004
526,Enjoy,"Mountain View","San Francisco Bay Area",California,USA,"North America",400,2022-06-30,18,2222,1822,Retail,Post-IPO,310,37.3893889,-122.0832101
527,"Finleap Connect",Hamburg,Unknown,Unknown,Germany,Europe,14,2022-06-30,10,140,126,Finance,"Series A",22,53.550341,10.000654
528,Nate,"New York City",Unknown,Unknown,USA,"North America",30,2022-06-30,20,150,120,Retail,"Series A",47,40.7127281,-74.0060152
529,"Stash Financial","New York City",Unknown,Unknown,USA,"North America",40,2022-06-30,8,500,460,Finance,Unknown,480,40.7127281,-74.0060152
530,Stream,Boulder,Unknown,Unknown,USA,"North America",20,2022-06-30,12,167,147,Product,"Series B",58,40.0149856,-105.270545
531,Canoo,"Los Angeles",Unknown,California,USA,"North America",58,2022-07-01,6,967,909,Transportation,Post-IPO,300,34.0536909,-118.242766
532,Teleport,Oakland,"San Francisco Bay Area",California,USA,"North America",15,2022-07-01,6,250,235,Infrastructure,"Series C",169,37.8044557,-122.271356
533,WanderJaunt,"San Francisco","San Francisco Bay Area",California,USA,"North America",85,2022-07-01,100,85,0,Travel,"Series B",26,37.7792588,-122.4193286
534,Celsius,"New York City",Unknown,Unknown,USA,"North America",150,2022-07-03,25,600,450,Crypto,"Series B",864,40.7127281,-74.0060152
535,Lendis,Berlin,Unknown,Unknown,Germany,Europe,18,2022-07-04,15,120,102,Other,"Series A",90,52.5170365,13.3888599
536,Lightricks,Jerusalem,Unknown,Unknown,Israel,Asia,80,2022-07-04,12,667,587,Consumer,"Series D",335,31.78847185,35.21879441
537,Sendle,Sydney,Unknown,Unknown,Australia,Australia,27,2022-07-04,12,225,198,Logistics,"Series C",69,-33.8698439,151.2082848
538,Bizzabo,"New York City",Unknown,Unknown,USA,"North America",120,2022-07-05,30,400,280,Marketing,"Series E",194,40.7127281,-74.0060152
539,Bullish,"Hong Kong",Unknown,Unknown,"Hong Kong",Asia,30,2022-07-05,8,375,345,Crypto,Unknown,300,22.2793278,114.1628131
540,eToro,"Tel Aviv",Unknown,Unknown,Israel,Asia,100,2022-07-05,6,1667,1567,Finance,Unknown,322,32.0852997,34.7818064
541,Loft,"Sao Paulo",Unknown,Unknown,Brazil,"South America",384,2022-07-05,12,3200,2816,"Real Estate",Unknown,788,-23.5506507,-46.6333824
542,Outschool,"San Francisco","San Francisco Bay Area",California,USA,"North America",31,2022-07-05,18,172,141,Education,"Series D",240,37.7792588,-122.4193286
543,Syte,"Tel Aviv",Unknown,Unknown,Israel,Asia,13,2022-07-05,8,163,150,Retail,"Series C",71,32.0852997,34.7818064
544,Thimble,"New York City",Unknown,Unknown,USA,"North America",20,2022-07-05,33,61,41,Finance,"Series A",28,40.7127281,-74.0060152
545,"Transmit Security",Boston,Unknown,Unknown,USA,"North America",27,2022-07-05,7,386,359,Security,"Series A",583,42.3554334,-71.060511
546,Verbit,"New York City",Unknown,Unknown,USA,"North America",80,2022-07-05,10,800,720,Data,"Series E",569,40.7127281,-74.0060152
547,Anodot,"Tel Aviv",Unknown,Unknown,Israel,Asia,35,2022-07-06,27,130,95,Data,"Series C",64,32.0852997,34.7818064
548,Remote,"San Francisco","San Francisco Bay Area",California,USA,"North America",100,2022-07-06,9,1111,1011,HR,"Series C",496,37.7792588,-122.4193286
549,SQream,"New York City",Unknown,Unknown,USA,"North America",30,2022-07-06,18,167,137,Data,"Series B",77,40.7127281,-74.0060152
551,Emotive,"Los Angeles",Unknown,California,USA,"North America",30,2022-07-07,18,167,137,Marketing,"Series B",78,34.0536909,-118.242766
552,"Next Insurance","Palo Alto","San Francisco Bay Area",California,USA,"North America",150,2022-07-07,17,882,732,Finance,"Series E",881,37.4443293,-122.1598465
553,"Butler Hospitality","New York City",Unknown,Unknown,USA,"North America",1000,2022-07-08,100,1000,0,Food,"Series B",50,40.7127281,-74.0060152
554,Calibrate,"New York City",Unknown,Unknown,USA,"North America",156,2022-07-08,24,650,494,Healthcare,"Series B",127,40.7127281,-74.0060152
555,Hopin,London,Unknown,Unknown,UK,Europe,242,2022-07-11,29,834,592,Other,"Series D",1000,51.4893335,-0.144055085
556,SundaySky,"New York City",Unknown,Unknown,USA,"North America",24,2022-07-11,13,185,161,Marketing,"Series D",74,40.7127281,-74.0060152
